sl,text,aspect,sentiment,Issues,Battery,External,Internal,Screen,Service,Software
0,I charge it at night and skip taking the cord with me because of the good battery life .,cord,0,Battery,1,0,0,0,0,0
1,I charge it at night and skip taking the cord with me because of the good battery life .,battery life,1,Battery,1,0,0,0,0,0
2,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the `` sales '' team , which is the retail shop which I bought my netbook from .",service center,-1,Service,0,0,0,0,1,0
5,"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .",quality,1,Service,0,0,0,0,1,0
6,"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .",GUI,1,Screen,0,0,0,1,0,0
7,"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .",applications,1,Software,0,0,0,0,0,1
9,Easy to start up and does not overheat as much as other laptops .,start up,1,Internal,0,0,1,0,0,0
10,"I even got my teenage son one , because of the features that it offers , like , iChat , Photobooth , garage band and more !",features,1,Internal,0,0,1,0,0,0
14,Great laptop that offers many great features !,features,1,Internal,0,0,1,0,0,0
15,"One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light steady , hard drive light steady and not flashing as it usually does .",GUI,-1,Screen,0,0,0,1,0,0
16,"One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light steady , hard drive light steady and not flashing as it usually does .",screen,-1,Screen,0,0,0,1,0,0
18,"One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light steady , hard drive ligh t steady and not flashing as it usually does .",hard drive ligh,-1,External,0,1,0,0,0,0
19,"My only disappointment with the 13 '' model is that they 're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards , however the trade-off is that you achieve a longer battery life -LRB- of about 2 more hours -RRB- .",processor,-1,Internal,0,0,1,0,0,0
20,"My only disappointment with the 13 '' model is that they 're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards , however the trade-off is that you achieve a longer battery life -LRB- of about 2 more hours -RRB- .",graphics cards,-1,Internal,0,0,1,0,0,0
21,"My only disappointment with the 13 '' model is that they 're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards , however the trade-off is that you achieve a longer battery life -LRB- of about 2 more hours -RRB- .",battery life,1,Battery,1,0,0,0,0,0
22,I took it back for an Asus and same thing - blue screen which required me to remove the battery to reset .,battery,0,Battery,1,0,0,0,0,0
23,"In the shop , these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it , get it home , break the seal and use it -LRB- very clever con -RRB- .",rubber enclosure,1,External,0,1,0,0,0,0
24,"In the shop , these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it , get it home , break the seal and use it -LRB- very clever con -RRB- .",edge,-1,Screen,0,0,0,1,0,0
25,"However , the multi-touch gestures and large tracking area make having an external mouse unnecessary -LRB- unless you 're gaming -RRB- .",multi-touch gestures,1,Software,0,0,0,0,0,1
26,"However , the multi-touch gestures and large tracking area make having an external mouse unnecessary -LRB- unless you 're gaming -RRB- .",tracking area,1,Internal,0,0,1,0,0,0
